Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,0.852590,0.853620,0.849200,0.852600,0.852600,0
2021-04-02,0.849060,0.850960,0.848392,0.848900,0.848900,0
2021-04-05,0.849880,0.851830,0.846300,0.849750,0.849750,0
2021-04-06,0.846090,0.847710,0.843500,0.846100,0.846100,0
2021-04-07,0.842070,0.842790,0.839300,0.842160,0.842160,0
2021-04-08,0.842320,0.843040,0.839290,0.842200,0.842200,0
2021-04-09,0.839230,0.842560,0.838700,0.839230,0.839230,0
2021-04-12,0.840590,0.842220,0.838900,0.840300,0.840300,0
2021-04-13,0.839480,0.841446,0.836600,0.839300,0.839300,0
2021-04-14,0.836300,0.836690,0.834590,0.836530,0.836530,0
2021-04-15,0.834560,0.836270,0.833810,0.834300,0.834300,0
2021-04-16,0.835370,0.836757,0.833700,0.835300,0.835300,0
2021-04-19,0.835540,0.837280,0.830000,0.835460,0.835460,0
2021-04-20,0.830300,0.831340,0.827700,0.830200,0.830200,0
2021-04-21,0.831080,0.833333,0.830200,0.831090,0.831090,0
2021-04-22,0.830690,0.833060,0.828500,0.830720,0.830720,0
2021-04-23,0.832090,0.832370,0.827952,0.832310,0.832310,0
2021-04-26,0.827160,0.828930,0.825200,0.827140,0.827140,0
2021-04-27,0.827869,0.829330,0.827000,0.827700,0.827700,0
2021-04-28,0.827230,0.829350,0.826300,0.827109,0.827109,0
2021-04-29,0.824010,0.826160,0.822900,0.824000,0.824000,0
2021-04-30,0.824750,0.831620,0.824500,0.824600,0.824600,0
2021-05-03,0.831500,0.832300,0.827952,0.831410,0.831410,0
2021-05-04,0.829200,0.833330,0.828981,0.829100,0.829100,0
2021-05-05,0.832200,0.834220,0.831300,0.832290,0.832290,0
2021-05-06,0.832700,0.833750,0.828500,0.832780,0.832780,0
2021-05-07,0.828780,0.829640,0.822000,0.828600,0.828600,0
2021-05-10,0.821860,0.823900,0.821200,0.821620,0.821620,0
2021-05-11,0.823580,0.824710,0.821040,0.823660,0.823660,0
2021-05-12,0.823350,0.828630,0.823000,0.823418,0.823418,0
2021-05-13,0.828030,0.829660,0.826000,0.827917,0.827917,0
2021-05-14,0.827800,0.828400,0.823200,0.828000,0.828000,0
2021-05-17,0.823210,0.824570,0.821693,0.823020,0.823020,0
2021-05-18,0.822690,0.822770,0.817500,0.822580,0.822580,0
2021-05-19,0.817900,0.820220,0.816460,0.818063,0.818063,0
2021-05-20,0.821500,0.821630,0.817728,0.821500,0.821500,0
2021-05-21,0.817800,0.821440,0.816860,0.817970,0.817970,0
2021-05-24,0.820940,0.821300,0.817700,0.820800,0.820800,0
2021-05-25,0.818700,0.818840,0.815195,0.818690,0.818690,0
2021-05-26,0.816400,0.819670,0.815328,0.816387,0.816387,0
2021-05-27,0.820320,0.821310,0.818532,0.820170,0.820170,0
2021-05-28,0.820160,0.824170,0.819600,0.820130,0.820130,0
2021-05-31,0.820340,0.820740,0.817400,0.820340,0.820340,0
2021-06-01,0.817390,0.818690,0.816050,0.817470,0.817470,0
2021-06-02,0.818460,0.821980,0.817700,0.818480,0.818480,0
2021-06-03,0.818900,0.825021,0.818600,0.819010,0.819010,0
2021-06-04,0.824382,0.826070,0.820500,0.824198,0.824198,0
2021-06-07,0.821980,0.823380,0.819538,0.821800,0.821800,0
2021-06-08,0.820370,0.821920,0.819900,0.820100,0.820100,0
2021-06-09,0.821570,0.821570,0.818398,0.821500,0.821500,0
2021-06-10,0.821200,0.823360,0.820200,0.820883,0.820883,0
2021-06-11,0.821480,0.826788,0.820008,0.821520,0.821520,0
2021-06-14,0.825710,0.826770,0.824300,0.825750,0.825750,0
2021-06-15,0.824800,0.826250,0.823100,0.824930,0.824930,0
2021-06-16,0.824710,0.825740,0.824063,0.824600,0.824600,0
2021-06-17,0.833900,0.839840,0.832800,0.833640,0.833640,0
2021-06-18,0.839400,0.843800,0.838400,0.839390,0.839390,0
2021-06-21,0.842530,0.843970,0.838890,0.842200,0.842200,0
2021-06-22,0.839520,0.841580,0.839100,0.839450,0.839450,0
2021-06-23,0.837700,0.839220,0.835422,0.837750,0.837750,0
2021-06-24,0.838110,0.838930,0.836350,0.838000,0.838000,0
2021-06-25,0.838370,0.838370,0.835110,0.838200,0.838200,0
2021-06-28,0.837370,0.840010,0.837100,0.837370,0.837370,0
2021-06-29,0.838200,0.841720,0.838200,0.838300,0.838300,0
2021-06-30,0.840340,0.844180,0.839600,0.840200,0.840200,0
2021-07-01,0.843500,0.844730,0.841468,0.843400,0.843400,0
2021-07-02,0.844090,0.846070,0.843100,0.844150,0.844150,0
2021-07-05,0.843460,0.843739,0.841609,0.843440,0.843440,0
2021-07-06,0.843064,0.846382,0.840600,0.842900,0.842900,0
2021-07-07,0.846000,0.848720,0.844500,0.845700,0.845700,0
2021-07-08,0.847920,0.848590,0.842720,0.847932,0.847932,0
2021-07-09,0.844100,0.845650,0.842130,0.844024,0.844024,0
2021-07-12,0.842200,0.844830,0.841600,0.842250,0.842250,0
2021-07-13,0.842820,0.847930,0.841900,0.842800,0.842800,0
2021-07-14,0.849300,0.849430,0.845451,0.849230,0.849230,0
2021-07-15,0.845070,0.847030,0.843800,0.845070,0.845070,0
2021-07-16,0.846520,0.847889,0.845809,0.846610,0.846610,0
2021-07-19,0.846630,0.850030,0.845790,0.846453,0.846453,0
2021-07-20,0.848000,0.850550,0.847170,0.847900,0.847900,0
2021-07-21,0.848500,0.850800,0.847260,0.848600,0.848600,0
2021-07-22,0.847800,0.849860,0.845320,0.847980,0.847980,0
2021-07-23,0.849360,0.850630,0.848500,0.849420,0.849420,0
2021-07-26,0.849400,0.850010,0.846200,0.849370,0.849370,0
2021-07-27,0.847000,0.849490,0.844800,0.846900,0.846900,0
2021-07-28,0.845852,0.848480,0.845300,0.845800,0.845800,0
2021-07-29,0.844110,0.844470,0.840900,0.844170,0.844170,0
