1,23,1,0,1.4,50,0,1.3,50,0,1.33,50,30,30,0
0,22,1,,,,,,,,,,,,
1,25,0,1,1.22,50,1,1.23,40,1,1.24,30,50,40,0
0,24,1,1,1.19,100,0,1.23,70,0,1.25,90,0,0,0
1,25,0,,,,,,,,,,,,,
1,23,0,1,1.15,30,0,1.26,25,1,1.18,60,75,80,2
1,23,0,1,1.18,40,0,1.25,40,0,1.25,40,50,60,2
1,23,0,1,1.18,70,1,1.15,85,1,1.1,90,70,70,2
0,24,0,1,1.15,50,0,1.25,50,0,1.25,50,50,50,1
0,21,0,1,1.1,20,1,1.09,10,1,1.085,5,10,10,0
0,22,1,1,1.1,70,0,1.1,70,0,1.25,70,30,50,0
0,21,1,0,1.2,25,0,1.2,15,1,1.22,25,50,70,0
0,22,0,1,1.32,68,1,1.45,54,1,1.57,24,68,75,0
0,21,0,0,1.23,70,0,1.24,65,1,1.24,65,75,85,1
0,23,0,0,1.35,50,0,1.5,50,0,1.8,50,75,80,1
0,20,0,1,1.15,60,1,1.14,50,1,1.13,40,75,65,1
0,19,1,,,,,,,,,,,,
0,21,0,0,1.25,70,1,1.15,60,1,1.12,40,40,40,2
0,22,1,1,1.22,67,1,1.22,70,0,1.2,55,40,60,0
0,22,1,1,2,0,0,2,0,0,2,0,,,,
0,22,0,0,1.23,70,1,1.19,65,1,1.18,50,80,80,1
0,24,0,0,1.31,1,1,1.15,1,1,1.1,1,50,60,0
0,20,0,0,1.22,22,1,1.19,22,0,1.22,22,15,15,0
0,22,0,1,1.15,80,0,1.2,30,0,1.25,30,40,70,1
0,21,0,,,,,,,,,,,,
1,24,0,0,1.4,50,1,1.35,50,0,1.25,5,50,50,0
,,,,,,,,,,,,,,
0,26,0,1,1.1,20,1,1.1,30,1,1,30,50,75,1
0,24,1,,,,,,,,,,,,
0,22,0,1,1.16,50,1,1.15,5,1,1.2,2,60,70,1
0,23,0,0,1.23,50,0,1.22,20,1,1.2,5,30,50,2
0,21,1,0,1.18,50,1,1.25,50,1,1.27,50,50,50,1
1,26,1,1,1.15,50,1,1.15,50,1,1.15,50,60,60,0
0,21,1,0,1.29,25,0,1.32,20,0,1.35,15,15,30,1
0,21,1,1,1.18,25,0,1.24,25,0,1.24,15,30,30,2
,,,,,,,,,,,,,,
0,22,1,0,1.21,20,0,1.22,20,1,1.18,15,30,40,0
1,27,1,0,1.25,50,1,1.15,50,1,1.13,50,30,70,1
1,27,1,0,1.22,20,0,1.3,20,0,1.3,10,20,40,1
0,24,1,0,1.24,80,0,1.22,50,1,1.2,20,50,45,2
0,19,0,1,100,12,,,,,,,,,
0,26,0,1,1.27,70,1,1.31,70,0,1.25,40,65,70,1
1,23,1,0,1.25,20,1,1.18,20,1,1.15,40,10,10,1
0,24,1,0,1.22,65,0,1.24,45,1,1.19,25,40,70,0
0,24,0,0,1.3,10,0,1.3,5,0,1.3,0,95,70,1
0,21,1,1,1.21,40,1,1.23,60,1,1.24,50,20,50,0
0,21,0,1,1.2015,68,1,1.2,60,1,1.18,50,70,65,0
0,24,1,1,1.31,25,1,1.31,25,1,1.31,40,35,35,1
,,,,,,,,,,,,,,
1,26,0,,,,,,,,,,,,
1,26,0,0,1.23,77,0,1.25,60,1,1.19,70,65,80,0
,,,,,,,,,,,,,,
0,42,0,0,1.24,50,0,1.26,50,0,1.28,50,50,50,0
0,21,0,0,1.25,10,0,1.27,9,1,1.2,8,5,20,0
0,21,1,,,,,,,,,,,,
0,22,1,0,1.25,70,1,1.1,40,1,1.12,70,40,40,2
0,22,1,0,1.24,61,1,1.2,57,1,1.2,67,66,80,0
0,20,1,1,1.09,3,1,1.04,4,1,1.01,5,0,0,0
0,22,0,0,1.26,60,1,120,70,1,1.15,70,70,65,2
0,23,1,1,1.19,20,0,1.25,0,0,1.26,10,20,40,0
0,24,0,0,1.23,20,0,1.24,10,0,1.25,0,75,90,0
Other,21,1,1,1.34,57,0,1.19,34,1,1.25,50,90,90,0
0,26,1,0,1.25,65,1,1.18,65,1,1.2,65,50,50,0
0,22,0,1,1.11,35,1,1.1,30,0,1.25,30,70,90,1
0,21,0,1,1.15,55,1,1.19,45,0,1.24,35,75,60,0
0,28,0,0,1.25,60,1,1.21,80,1,1.18,10,50,50,0
0,23,0,0,1.23,40,1,1.19,40,0,1.25,50,40,35,1
1,26,0,0,1.2367,66,0,1.2194,33,0,1.2152,0,51,51,more than 2
