BCKGI1,BCKGI3,BCKGI2,BCKGI5,FCsthree0,FCthree01,FCthree1,FCsix0,FCsix01,FCsix1,FCtwelve,FCtwelve01,FCtwelve1,AQ1,AQ2,AQ3,AQ4[SQ001],AQ4[SQ002],AQ4[SQ003],AQ5,Group
Bachelor,21,Male,Austria,AP,1.22,20,DEP,1.18,20,DEP,1.18,10,50,50,0,No,No,Yes,Realist,neutral
,,,Austria,,,,,,,,,,,,,,,,,neutral
Bachelor,22,Male,Austria,AP,1.24,60,AP,1.24,60,AP,1.25,40,80,65,0,No,No,Yes,Optimist,neutral
Bachelor,19,Female,Austria,DEP,1.6,3,,,,,,,,,,,,,,neutral
,,,Austria,,,,,,,,,,,,,,,,,neutral
Bachelor,21,Male,Austria,AP,1.32,50,AP,1.33,10,AP,1.34,10,50,70,0,No,No,Yes,Pessimist,neutral
Master,26,Male,Bulgaria,,,,,,,,,,,,,,,,,neutral
Bachelor,23,Female,Bulgaria,,,,,,,,,,,,,,,,,neutral
Bachelor,22,Female,Bulgaria,DEP,1.3,70,DEP,1.3,60,DEP,1.3,50,30,70,0,No,No,Yes,Realist,neutral
Bachelor,21,Male,Bulgaria,,,,,,,,,,,,,,,,,neutral
Bachelor,25,Male,Bulgaria,,,,,,,,,,,,,,,,,neutral
Bachelor,22,Male,Bulgaria,AP,1.25,50,AP,1.28,50,AP,1.28,50,50,50,0,No,No,Yes,Realist,neutral
Bachelor,22,Male,Bulgaria,AP,0.75,100,,,,,,,,,,,,,,neutral
Bachelor,23,Male,Bulgaria,AP,1.3,30,AP,1.3,20,DEP,1.1,0,30,20,0,Yes,No,No,Realist,neutral
Bachelor,24,Male,Bulgaria,AP,1.35,85,AP,1.45,70,AP,1.5,60,85,90,0,No,Yes,No,Optimist,neutral
Bachelor,22,Female,Bulgaria,AP,1.7,67,DEP,1.65,87,DEP,1.6,70,40,40,0,No,No,Yes,Realist,neutral
Bachelor,26,Male,Bulgaria,AP,1,10,,,,,,,,,,,,,,neutral
Master,23,Female,Denmark,,,,,,,,,,,,,,,,,neutral
Master,25,Female,Denmark,DEP,1.18,5,DEP,1.17,5,DEP,1.17,5,60,50,0,No,Yes,No,Realist,neutral
Master,25,Female,Denmark,AP,1.2,0,AP,1.2,0,DEP,1.15,0,20,20,1,No,No,Yes,Realist,neutral
Master,24,Male,Denmark,AP,1.3,10,AP,1.3,10,AP,1.4,10,50,50,1,No,No,Yes,Optimist,neutral
,,,,,,,,,,,,,,,,,,,,neutral
Master,22,Male,Denmark,AP,1.22,10,DEP,1.1,20,DEP,1.1,0,10,20,1,No,No,Yes,Realist,neutral
Bachelor,23,Male,Denmark,DEP,1.2,65,DEP,1.25,65,AP,1.12,65,50,65,1,No,Yes,No,Realist,neutral
Bachelor,21,Male,Denmark,DEP,1.15,65,AP,1.22,55,AP,1.2,55,62,45,1,No,Yes,No,Realist,neutral
Bachelor,25,Male,Denmark,AP,1.1857,100,AP,1.1884,100,AP,1.1928,100,75,75,1,Yes,No,No,Realist,neutral
Bachelor,21,Male,Denmark,,,,,,,,,,,,,,,,,neutral
Bachelor,21,Male,Denmark,,,,,,,,,,,,,,,,,neutral
Bachelor,21,Male,Denmark,DEP,1,50,,,,,,,,,,,,,,neutral
Master,24,Male,Denmark,AP,1.31,25,AP,1.31,30,AP,1.35,30,30,50,1,No,Yes,No,Realist,neutral
Master,25,Female,Austria,DEP,1.32,60,DEP,1.32,60,DEP,1.32,70,8,70,0,No,No,Yes,Realist,neutral
Master,25,Female,Austria,DEP,1.34,20,DEP,1.34,20,DEP,1.34,60,15,60,0,No,No,Yes,Realist,neutral
Master,25,Female,Denmark,DEP,1.12,75,AP,1.2,50,AP,1.3,45,50,50,1,No,Yes,No,Realist,neutral
Bachelor,22,Female,Denmark,AP,1.2,40,DEP,1.17,40,AP,1.19,50,40,40,0,No,Yes,No,Realist,neutral
