BCKGI1;BCKGI3;BCKGI2;BCKGI5;FCsthree0;FCthree01;FCthree1;FCsix0;FCsix01;FCsix1;FCtwelve;FCtwelve01;FCtwelve1;AQ1;AQ2;AQ3;AQ401;AQ402;AQ403;AQ5
Bachelor;21;Female;Germany;AP;1,29;25;AP;1,32;20;AP;1,35;15;15;30;1;No;No;Yes;Realist
Bachelor;21;Female;Germany;DEP;1,18;25;AP;1,24;25;AP;1,24;15;30;30;2;No;Yes;No;Realist
;;;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;22;Female;Austria;AP;1,21;20;AP;1,22;20;DEP;1,18;15;30;40;0;No;No;Yes;Realist
Master;27;Female;Germany;AP;1,25;50;DEP;1,15;50;DEP;1,13;50;30;70;1;No;No;Yes;Optimist
Master;27;Female;Austria;AP;1,22;20;AP;1,30;20;AP;1,30;10;20;40;1;No;No;Yes;Optimist
Bachelor;24;Female;Austria;AP;1,24;80;AP;1,22;50;DEP;1,20;20;50;45;2;No;No;Yes;Realist
Bachelor;19;Male;Austria;DEP;100,00;12;;;;;;;;;;N/A;N/A;N/A;
Bachelor;26;Male;Austria;DEP;1,27;70;DEP;1,31;70;AP;1,25;40;65;70;1;No;No;Yes;Realist
Master;23;Female;Germany;AP;1,25;20;DEP;1,18;20;DEP;1,15;40;10;10;1;Yes;Yes;No;Realist
Bachelor;24;Female;Germany;AP;1,22;65;AP;1,24;45;DEP;1,19;25;40;70;0;No;No;Yes;Realist
Bachelor;24;Male;Austria;AP;1,30;10;AP;1,30;5;AP;1,30;0;95;70;1;No;Yes;Yes;Realist
Bachelor;21;Female;Germany;DEP;1,21;40;DEP;1,23;60;DEP;1,24;50;20;50;0;No;No;Yes;Optimist
Bachelor;21;Male;United Kingdom;DEP;1,20;68;DEP;1,20;60;DEP;1,18;50;70;65;0;No;Yes;No;Pessimist
Bachelor;24;Female;Germany;DEP;1,31;25;DEP;1,31;25;DEP;1,31;40;35;35;1;No;No;Yes;Optimist
